symbol,base_currency,quote_currency,settlement_currency,order_size_increment,price_tick_size,min_notional,open_at,expiry_at,asset_kind,market_kind,position_limit,price_bands_width,max_slippage,max_open_orders,max_funding_rate,delta1_cross_margin_params,price_feed_id,oracle_ewma_factor,max_order_size,max_funding_rate_change,max_tob_spread,interest_rate,clamp_rate,funding_period_hours,tags,iv_bands_width,option_cross_margin_params,option_type,strike_price
RAY-USD-PERP,RAY,USD,USDC,0.1,0.00001,50,1740381300000,0,PERP,cross,310000,0.2,0.005,75,0.05,"{'imf_base': '0.2', 'imf_shift': '0', 'imf_factor': '0', 'mmf_factor': '0.5'}",AnLf8tVYCM816gmBjiy8n53eXKKEDydT5piYjjQDPgTB,0.14999987905913592,94000,0.0005,0.02,0.0001,0.0005,8,['DEFI'],,,,
HYPE-USD-30-P,HYPE,USD,USDC,1,0.001,100,1747987936533,0,PERP_OPTION,cross,50000,0.05,0.5,150,0,,,0.20000046249626113,100000,0,2,0,0,120,[],0.05,"{'imf': {'long_itm': '0.1', 'short_itm': '0.075', 'short_otm': '0.05', 'short_put_cap': '0.5', 'premium_multiplier': '1'}, 'mmf': {'long_itm': '0.05', 'short_itm': '0.0375', 'short_otm': '0.025', 'short_put_cap': '0.5', 'premium_multiplier': '0.5'}}",PUT,30
ETH-USD-2850-P,ETH,USD,USDC,0.1,0.01,100,1748504523455,0,PERP_OPTION,cross,1000,0.05,0.5,150,0,,,0.20000046249626113,1000,0,2,0,0,120,[],0.05,"{'imf': {'long_itm': '0.05', 'short_itm': '0.075', 'short_otm': '0.05', 'short_put_cap': '0.5', 'premium_multiplier': '1'}, 'mmf': {'long_itm': '0.025', 'short_itm': '0.0375', 'short_otm': '0.025', 'short_put_cap': '0.5', 'premium_multiplier': '0.5'}}",PUT,2850
HYPE-USD-46-C,HYPE,USD,USDC,1,0.001,100,1748247336111,0,PERP_OPTION,cross,50000,0.05,0.5,150,0,,,0.20000046249626113,100000,0,2,0,0,120,[],0.05,"{'imf': {'long_itm': '0.1', 'short_itm': '0.075', 'short_otm': '0.05', 'short_put_cap': '0.5', 'premium_multiplier': '1'}, 'mmf': {'long_itm': '0.05', 'short_itm': '0.0375', 'short_otm': '0.025', 'short_put_cap': '0.5', 'premium_multiplier': '0.5'}}",CALL,46
HYPE-USD-51-P,HYPE,USD,USDC,1,0.001,100,1752308143160,0,PERP_OPTION,cross,50000,0.05,0.5,150,0,,,0.20000046249626113,100000,0,2,0,0,120,[],0.05,"{'imf': {'long_itm': '0.1', 'short_itm': '0.075', 'short_otm': '0.05', 'short_put_cap': '0.5', 'premium_multiplier': '1'}, 'mmf': {'long_itm': '0.05', 'short_itm': '0.0375', 'short_otm': '0.025', 'short_put_cap': '0.5', 'premium_multiplier': '0.5'}}",PUT,51
HYPE-USD-53-P,HYPE,USD,USDC,1,0.001,100,1752480974354,0,PERP_OPTION,cross,50000,0.05,0.5,150,0,,,0.20000046249626113,100000,0,2,0,0,120,[],0.05,"{'imf': {'long_itm': '0.1', 'short_itm': '0.075', 'short_otm': '0.05', 'short_put_cap': '0.5', 'premium_multiplier': '1'}, 'mmf': {'long_itm': '0.05', 'short_itm': '0.0375', 'short_otm': '0.025', 'short_put_cap': '0.5', 'premium_multiplier': '0.5'}}",PUT,53
ETH-USD-3900-P,ETH,USD,USDC,0.1,0.01,100,1752999312406,0,PERP_OPTION,cross,1000,0.05,0.5,150,0,,,0.20000046249626113,1000,0,2,0,0,120,[],0.05,"{'imf': {'long_itm': '0.05', 'short_itm': '0.075', 'short_otm': '0.05', 'short_put_cap': '0.5', 'premium_multiplier': '1'}, 'mmf': {'long_itm': '0.025', 'short_itm': '0.0375', 'short_otm': '0.025', 'short_put_cap': '0.5', 'premium_multiplier': '0.5'}}",PUT,3900
BTC-USD-145000-P,BTC,USD,USDC,0.001,0.1,100,1752480958597,0,PERP_OPTION,cross,30,0.05,0.5,150,0,,,0.20000046249626113,2,0,2,0,0,120,[],0.05,"{'imf': {'long_itm': '0.05', 'short_itm': '0.075', 'short_otm': '0.05', 'short_put_cap': '0.5', 'premium_multiplier': '1'}, 'mmf': {'long_itm': '0.025', 'short_itm': '0.0375', 'short_otm': '0.025', 'short_put_cap': '0.5', 'premium_multiplier': '0.5'}}",PUT,145000
HYPE-USD-46-P,HYPE,USD,USDC,1,0.001,100,1748247336111,0,PERP_OPTION,cross,50000,0.05,0.5,150,0,,,0.20000046249626113,100000,0,2,0,0,120,[],0.05,"{'imf': {'long_itm': '0.1', 'short_itm': '0.075', 'short_otm': '0.05', 'short_put_cap': '0.5', 'premium_multiplier': '1'}, 'mmf': {'long_itm': '0.05', 'short_itm': '0.0375', 'short_otm': '0.025', 'short_put_cap': '0.5', 'premium_multiplier': '0.5'}}",PUT,46
OM-USD-PERP,OM,USD,USDC,0.1,0.00001,50,1739763000000,0,PERP,cross,4000000,0.2,0.005,75,0.05,"{'imf_base': '0.2', 'imf_shift': '0', 'imf_factor': '0', 'mmf_factor': '0.5'}",H7xkSUQki2sTviiKoXofg2fCvBvAPbHaetBitGVtCvMb,0.14999987905913592,8000000,0.0005,0.02,0.0001,0.0005,8,['LAYER-1'],,,,
